deviceid,latitude,longitude,datetime,leaving_datetime
212,37.6376006,127.0697069,2019-11-28 03:28:34,2019-11-28 05:07:22
212,37.6376045,127.0697219,2019-11-28 05:08:23,2019-11-28 08:56:14
212,37.5868452,127.0235916,2019-11-28 09:25:01,2019-11-28 10:12:32
212,37.58683765,127.02358045,2019-11-28 10:13:43,2019-11-28 11:06:16
212,37.6376028,127.0697204,2019-11-28 11:27:02,2019-11-28 14:24:29
212,37.6376161,127.0697038,2019-11-28 14:25:54,2019-11-28 21:02:37
212,37.6376295,127.0697086,2019-11-28 21:03:53,2019-11-29 05:36:01
