deviceid,latitude,longitude,year,week,category
98.0,37.5605661875,127.0286798625,2019.0,45.0,none
98.0,37.54782135,127.02713560000001,2019.0,45.0,종교>개신교
98.0,37.548183775,127.024582325,2019.0,45.0,none
98.0,37.5530712,127.026203,2019.0,45.0,주택>아파트
98.0,37.54799715,127.0209514,2019.0,45.0,none
98.0,37.55971905,127.03622855,2019.0,45.0,none
98.0,37.5634079,127.0367613,2019.0,45.0,"공공,사회기관>구청"
98.0,37.556566200000006,127.0289651,2019.0,45.0,"쇼핑,유통>상가,아케이드"
98.0,37.555559,127.0250183,2019.0,45.0,none
98.0,37.5704482,127.0337839,2019.0,45.0,"사회,복지>종합사회복지관"
98.0,37.560604894444445,127.0286795611111,2019.0,46.0,none
98.0,37.54785555,127.0271134,2019.0,46.0,종교>개신교
98.0,37.5516817,127.0263145,2019.0,46.0,주택>아파트
98.0,37.5482209,127.0245399,2019.0,46.0,none
98.0,37.55660785,127.02881315,2019.0,46.0,"쇼핑,유통>상가,아케이드"
98.0,37.5643845,126.9937779,2019.0,46.0,none
98.0,37.5637588,127.0343397,2019.0,46.0,none
98.0,37.5490554,126.954033,2019.0,46.0,"금융,보험>신용,보증"
98.0,37.5593633,127.0361843,2019.0,46.0,종교>불교
98.0,37.5484398,127.0227084,2019.0,46.0,none
98.0,37.55922805,127.0360571,2019.0,47.0,종교>불교
98.0,37.5606183,127.0286755,2019.0,47.0,none
