deviceid,latitude,longitude,arrive_time,leaving_time
142,37.5644502,127.0397832,2020-04-08 03:21:18,2020-04-08 04:20:30
142,37.5658583,127.04168225000001,2020-04-08 05:04:29,2020-04-08 05:41:26
142,37.564291350000005,127.03979625,2020-04-08 05:41:26,2020-04-08 07:33:20
142,37.56438675,127.03973325,2020-04-08 08:34:52,2020-04-08 10:11:55
142,37.5638649,127.0408725,2020-04-08 10:54:20,2020-04-08 11:32:42
142,37.5638649,127.0395307,2020-04-08 11:34:48,2020-04-08 13:59:12
142,37.564371050000005,127.03972350000001,2020-04-08 14:04:21,2020-04-09 01:17:24
