deviceid,latitude,longitude,arrive_time,leaving_time
142,37.5644046,127.0397904,2020-01-04 03:58:05,2020-01-04 04:51:55
142,37.5720657,126.9772766,2020-01-04 05:49:53,2020-01-04 07:05:10
142,37.5644857,127.0408091,2020-01-04 09:08:54,2020-01-04 09:49:56
142,37.564066,127.0395307,2020-01-04 09:57:02,2020-01-04 13:18:43
142,37.5643968,127.0397877,2020-01-04 13:39:52,2020-01-04 14:12:13
142,37.56439745,127.03978695,2020-01-04 14:13:18,2020-01-04 23:52:20
142,37.5643967,127.03978475,2020-01-04 23:55:53,2020-01-05 00:59:37
