deviceid,latitude,longitude,arrive_time,leaving_time
142,37.5607646,127.0403568,2020-02-13 02:17:37,2020-02-13 03:05:57
142,37.5644582,127.0397576,2020-02-13 03:19:40,2020-02-13 05:14:44
142,37.56006465,127.04806445,2020-02-13 05:29:28,2020-02-13 07:45:03
142,37.5644542,127.0397713,2020-02-13 08:49:28,2020-02-13 11:29:47
142,37.5634894,127.0395307,2020-02-13 12:58:26,2020-02-13 14:14:15
142,37.5644631,127.0397663,2020-02-13 15:22:17,2020-02-13 21:19:34
142,37.5644854,127.0397678,2020-02-13 21:20:40,2020-02-14 00:10:45
