deviceid,latitude,longitude,arrive_time,leaving_time
142,37.5644149,127.0398026,2020-04-23 01:37:04,2020-04-23 03:12:35
142,37.5644959,127.0398335,2020-04-23 03:39:12,2020-04-23 04:17:07
142,37.5650035,127.0434653,2020-04-23 05:25:57,2020-04-23 06:13:33
142,37.56400885,127.04019735,2020-04-23 06:13:33,2020-04-23 06:55:54
142,37.5644625,127.0398341,2020-04-23 07:24:27,2020-04-23 10:15:00
142,37.5644654,127.0398148,2020-04-23 11:01:53,2020-04-23 12:29:16
142,37.564422750000006,127.0398276,2020-04-23 13:36:53,2020-04-23 19:26:30
142,37.564483949999996,127.0398323,2020-04-23 19:30:15,2020-04-24 02:22:55
