deviceid,latitude,longitude,arrive_time,leaving_time
142,37.5644794,127.0398004,2020-03-13 02:11:37,2020-03-13 03:26:36
142,37.56448465,127.0398069,2020-03-13 05:49:07,2020-03-13 07:36:58
142,37.5640309,127.0412079,2020-03-13 09:14:33,2020-03-13 10:08:10
142,37.564465600000005,127.039807,2020-03-13 12:34:09,2020-03-13 13:33:49
142,37.5644668,127.0398022,2020-03-13 13:47:05,2020-03-13 14:23:28
142,37.5644702,127.039803,2020-03-13 15:31:38,2020-03-13 21:58:12
142,37.5644688,127.0398046,2020-03-13 21:59:17,2020-03-14 00:32:02
