deviceid,latitude,longitude,arrive_time,leaving_time
142,37.5644789,127.0397593,2020-02-15 01:02:07,2020-02-15 02:04:17
142,37.5720215,126.9771823,2020-02-15 02:21:35,2020-02-15 03:09:44
142,37.571992,126.9773154,2020-02-15 03:09:44,2020-02-15 06:10:04
142,37.564483,127.0397632,2020-02-15 06:37:54,2020-02-15 09:48:25
142,37.5644644,127.0397573,2020-02-15 10:35:17,2020-02-15 11:12:41
142,37.5644861,127.0397718,2020-02-15 11:51:14,2020-02-15 12:29:30
142,37.56448315,127.0397648,2020-02-15 12:41:50,2020-02-16 00:36:26
