deviceid,latitude,longitude,arrive_time,leaving_time
142,37.56439345,127.0397738,2020-02-05 00:14:33,2020-02-05 01:08:34
142,37.5643967,127.0397779,2020-02-05 02:49:47,2020-02-05 04:12:07
142,37.5643963,127.0397768,2020-02-05 04:13:12,2020-02-05 04:52:24
142,37.56439655,127.03977875,2020-02-05 04:53:29,2020-02-05 06:29:47
142,37.564066,127.0395307,2020-02-05 06:34:52,2020-02-05 07:10:08
142,37.5644003,127.0400272,2020-02-05 09:34:13,2020-02-05 10:41:19
142,37.564066,127.0395307,2020-02-05 10:42:20,2020-02-05 12:05:10
142,37.5643919,127.0397722,2020-02-05 13:35:30,2020-02-05 15:02:31
142,37.564404,127.0397896,2020-02-05 15:39:19,2020-02-05 16:54:56
142,37.5644,127.0397887,2020-02-05 16:56:04,2020-02-05 23:36:18
142,37.5644014,127.0397821,2020-02-05 23:54:32,2020-02-06 01:14:11
