deviceid,latitude,longitude,datetime,leaving_datetime
142,37.5644032,127.0398761,2019-12-10 10:11:00,2019-12-10 10:50:23
142,37.5644189,127.039867,2019-12-10 11:05:46,2019-12-10 12:52:54
142,37.5644292,127.0398894,2019-12-10 14:45:36,2019-12-10 15:25:54
142,37.5630788,127.0398661,2019-12-10 15:27:27,2019-12-10 16:23:11
142,37.5644149,127.03987939999999,2019-12-10 16:35:24,2019-12-10 17:28:06
142,37.5630788,127.0398661,2019-12-10 17:29:11,2019-12-10 18:24:52
142,37.56442335,127.03988609999999,2019-12-10 20:35:27,2019-12-10 22:10:22
142,37.5644172,127.0398931,2019-12-10 22:28:50,2019-12-10 22:59:15
142,37.56441045,127.03989745000001,2019-12-10 23:14:39,2019-12-10 23:45:18
142,37.56443605,127.0399055,2019-12-10 23:46:23,2019-12-11 00:25:49
