deviceid,latitude,longitude,arrive_time,leaving_time
142,37.5610274,127.0397562,2020-02-29 02:14:24,2020-02-29 03:11:04
142,37.5610268,127.0397571,2020-02-29 03:11:04,2020-02-29 07:16:09
142,37.5644735,127.0397877,2020-02-29 07:23:28,2020-02-29 08:33:06
142,37.5644847,127.0397793,2020-02-29 09:45:51,2020-02-29 10:18:13
142,37.5644772,127.0397775,2020-02-29 10:19:18,2020-02-29 11:10:09
142,37.5644507,127.0397813,2020-02-29 11:38:15,2020-02-29 12:41:09
142,37.5639085,127.0415434,2020-02-29 14:51:33,2020-02-29 15:31:51
142,37.5644547,127.0397903,2020-02-29 15:40:23,2020-02-29 22:43:33
142,37.5644678,127.03978570000001,2020-02-29 22:54:38,2020-03-01 00:15:13
