deviceid,latitude,longitude,datetime,leaving_datetime
142,37.5644733,127.039803,2020-03-06 09:04:21,2020-03-06 10:48:23
142,37.56446675,127.03980105,2020-03-06 11:20:12,2020-03-06 11:57:30
142,37.5644838,127.0398093,2020-03-06 12:58:30,2020-03-06 13:40:00
142,37.56447955,127.03980525,2020-03-06 14:18:44,2020-03-06 15:29:40
142,37.5644725,127.039801,2020-03-06 15:46:46,2020-03-06 17:13:21
142,37.5644797,127.0398134,2020-03-06 18:17:09,2020-03-06 20:24:46
142,37.5644631,127.039798,2020-03-06 20:39:56,2020-03-06 21:15:39
142,37.5644914,127.039813,2020-03-06 21:35:09,2020-03-06 22:27:49
