deviceid,latitude,longitude,datetime,leaving_datetime,cluster
65,37.5702889,127.04278675,2019-10-25 17:27:05,2019-10-25 18:02:19,1
65,37.57030295,127.0428066,2019-10-25 18:02:19,2019-10-26 12:22:36,1
65,37.57024515,127.0427622,2019-10-26 12:22:36,2019-10-26 16:37:23,1
65,37.5702007,127.0427153,2019-10-26 17:00:15,2019-10-26 20:09:32,1
65,37.5700999,127.0425939,2019-10-26 20:10:35,2019-10-27 10:39:01,1
65,37.57025565,127.042765,2019-10-27 10:40:01,2019-10-27 15:45:28,1
65,37.5702371,127.04275885,2019-10-27 15:47:02,2019-10-27 18:22:02,1
65,37.5702048,127.0427336,2019-10-27 18:23:04,2019-10-27 19:16:30,1
65,37.570211400000005,127.04273385,2019-10-27 19:25:02,2019-10-27 23:35:39,1
65,37.5702371,127.0427622,2019-10-27 23:37:43,2019-10-28 00:24:40,1
65,37.5701138,127.0426162,2019-10-28 00:56:02,2019-10-28 07:26:06,1
65,37.570111,127.0426278,2019-10-28 07:27:13,2019-10-28 08:26:53,1
65,37.5700907,127.0426414,2019-10-28 08:28:00,2019-10-28 09:20:10,1
65,37.5702437,127.0427908,2019-10-30 16:29:47,2019-10-30 19:59:01,1
65,37.5701077,127.04265635,2019-10-30 20:00:01,2019-10-31 09:15:23,1
65,37.5701397,127.0426751,2019-10-31 20:47:26,2019-11-01 00:41:38,1
65,37.5701025,127.04265565,2019-11-01 00:41:38,2019-11-01 04:18:25,1
65,37.5701064,127.0426551,2019-11-01 04:20:07,2019-11-01 05:52:00,1
65,37.5701388,127.0426781,2019-11-01 05:53:24,2019-11-01 08:19:24,1
65,37.5701062,127.04264895,2019-11-01 08:21:06,2019-11-01 09:01:03,1
65,37.57019885,127.0427538,2019-11-01 18:47:02,2019-11-02 09:44:22,1
65,37.5702838,127.0427976,2019-11-02 09:46:04,2019-11-02 17:15:38,1
