deviceid,latitude,longitude,year,week,category
211.0,37.60013165,127.0138665,2019.0,47.0,none
211.0,37.58666735,127.0175543,2019.0,47.0,종교>개신교
211.0,37.6156837,127.0945524,2019.0,47.0,"시설,건물>기업,빌딩"
211.0,37.581974,127.0215727,2019.0,47.0,none
211.0,37.5651039,127.03635645,2019.0,47.0,수선>구두수선
211.0,37.5829013,127.0210782,2019.0,47.0,"시설,건물>기업,빌딩"
211.0,37.5704841,126.98172165,2019.0,47.0,"음식점>술집>맥주,호프"
211.0,37.5702309,126.9875966,2019.0,47.0,"생활,편의>편의점"
211.0,37.5656124,127.0548905,2019.0,47.0,none
211.0,37.565757250000004,127.05493895000001,2019.0,48.0,주택>아파트
211.0,37.604561425,127.04567342499999,2019.0,48.0,"사회,복지>장애인복지시설"
211.0,37.571798099999995,127.034017175,2019.0,48.0,"사회,복지>자활후견기관"
211.0,37.6337716,126.9182029,2019.0,48.0,none
211.0,37.5649338,126.9880249,2019.0,48.0,"시설,건물>기업,빌딩"
211.0,37.5651033,127.0363524,2019.0,48.0,수선>구두수선
