deviceid,latitude,longitude,year,week,category
209.0,37.5201372,127.13538405,2019.0,47.0,"교육,학문>고등학교"
209.0,37.5650916,127.036352325,2019.0,47.0,수선>구두수선
209.0,37.55314615,127.1549989,2019.0,47.0,"시설,건물>기업,빌딩"
209.0,37.5607075,127.0383865,2019.0,47.0,"한식>칼국수,만두"
209.0,37.5629917,127.0361121,2019.0,47.0,none
209.0,37.55182605,127.0902371,2019.0,47.0,none
209.0,37.55078425,127.097651,2019.0,48.0,"공공,사회기관>회관"
209.0,37.5367197,127.1254696,2019.0,48.0,none
209.0,37.5370927,127.1390429,2019.0,48.0,none
209.0,37.5389221,127.1423377,2019.0,48.0,none
209.0,37.53879415,127.12431695,2019.0,48.0,"쇼핑,유통>백화점"
209.0,37.5869388,127.0188002,2019.0,48.0,none
209.0,37.53756465,127.1373634,2019.0,48.0,none
209.0,37.5982662,127.0912281,2019.0,48.0,주택>아파트
209.0,37.5504046,127.12881465,2019.0,48.0,none
209.0,37.5501235,127.1273258,2019.0,48.0,"시설,건물>기업,빌딩"
