deviceid,latitude,longitude,datetime,leaving_datetime,cluster
216,37.48656795,127.1048241,2019-11-22 09:14:32,2019-11-22 10:28:40,0
216,37.4853903,127.1053151,2019-11-22 10:28:40,2019-11-22 11:03:03,0
216,37.4838495,127.1057927,2019-11-22 12:07:35,2019-11-22 12:53:14,0
216,37.4874798,127.101658,2019-11-22 13:14:37,2019-11-22 14:23:11,0
216,37.4862217,127.1040705,2019-11-23 11:49:55,2019-11-23 13:27:52,0
216,37.48627645,127.1036459,2019-11-23 13:33:02,2019-11-23 15:29:41,0
216,37.48764439999999,127.1026299,2019-11-24 08:55:27,2019-11-24 09:27:08,0
216,37.4866207,127.10481645,2019-11-24 15:16:03,2019-11-24 16:11:43,0
216,37.4865157,127.1047831,2019-11-25 09:33:56,2019-11-25 12:30:43,0
216,37.4864447,127.1048482,2019-11-26 09:11:44,2019-11-26 11:03:37,0
216,37.4864172,127.1048724,2019-11-28 09:45:28,2019-11-28 12:40:06,0
216,37.48643535,127.10487765,2019-11-29 08:47:14,2019-11-29 11:15:52,0
216,37.4838034,127.1058657,2019-11-29 11:26:46,2019-11-29 12:03:14,0
