deviceid,latitude,longitude,datetime,leaving_datetime,cluster
216,37.5650975,127.03635455,2019-11-21 14:09:54,2019-11-21 15:39:31,3
216,37.5648697,126.9877194,2019-11-21 16:29:27,2019-11-21 17:22:33,6
216,37.5704699,126.9961511,2019-11-21 18:18:05,2019-11-21 18:56:09,5
216,37.4928947,127.090453,2019-11-21 20:31:09,2019-11-22 08:52:16,1
216,37.48656795,127.1048241,2019-11-22 09:14:32,2019-11-22 10:28:40,0
216,37.4853903,127.1053151,2019-11-22 10:28:40,2019-11-22 11:03:03,0
216,37.4838495,127.1057927,2019-11-22 12:07:35,2019-11-22 12:53:14,0
216,37.4874798,127.101658,2019-11-22 13:14:37,2019-11-22 14:23:11,0
216,37.5415796,126.9500207,2019-11-22 15:40:36,2019-11-22 18:09:14,12
216,37.5449006,126.9507047,2019-11-22 18:19:35,2019-11-22 19:15:22,11
216,37.4928848,127.09044915,2019-11-22 20:34:47,2019-11-23 08:26:50,1
216,37.561077,127.0384767,2019-11-23 09:53:25,2019-11-23 11:20:20,2
216,37.4862217,127.1040705,2019-11-23 11:49:55,2019-11-23 13:27:52,0
216,37.48627645,127.1036459,2019-11-23 13:33:02,2019-11-23 15:29:41,0
216,37.49287365,127.0904345,2019-11-23 15:56:00,2019-11-24 08:47:10,1
216,37.48764439999999,127.1026299,2019-11-24 08:55:27,2019-11-24 09:27:08,0
216,37.540732950000006,127.0187552,2019-11-24 09:53:40,2019-11-24 10:35:14,10
216,37.5588687,127.0322719,2019-11-24 11:08:00,2019-11-24 12:41:02,9
216,37.5613645,127.0381339,2019-11-24 12:47:15,2019-11-24 14:24:00,2
216,37.4866207,127.10481645,2019-11-24 15:16:03,2019-11-24 16:11:43,0
216,37.4928663,127.0904519,2019-11-24 16:37:09,2019-11-25 09:15:37,1
216,37.4865157,127.1047831,2019-11-25 09:33:56,2019-11-25 12:30:43,0
216,37.56135435,127.03850565,2019-11-25 13:34:53,2019-11-25 16:25:48,2
216,37.564829,126.9879781,2019-11-25 17:09:31,2019-11-25 18:27:01,6
216,37.5704588,126.9961512,2019-11-25 18:38:18,2019-11-25 19:25:49,5
216,37.4928877,127.0904809,2019-11-25 20:45:26,2019-11-26 08:54:03,1
216,37.4864447,127.1048482,2019-11-26 09:11:44,2019-11-26 11:03:37,0
216,37.5634886,127.03673815,2019-11-26 13:16:55,2019-11-26 13:48:31,3
216,37.565061,127.0363384,2019-11-26 13:48:31,2019-11-26 16:55:23,3
216,37.5613913,127.03827715,2019-11-26 16:59:29,2019-11-26 18:09:24,2
216,37.4928554,127.0904087,2019-11-26 18:58:16,2019-11-27 08:43:29,1
216,37.5196854,126.9404545,2019-11-27 11:10:02,2019-11-27 12:28:25,4
216,37.5200748,126.9404343,2019-11-27 12:35:36,2019-11-27 14:57:08,4
216,37.52577625,126.9384753,2019-11-27 15:04:18,2019-11-27 16:02:06,8
216,37.49285355,127.0904098,2019-11-27 18:24:50,2019-11-28 07:58:20,1
216,37.49285455,127.0904066,2019-11-28 07:58:20,2019-11-28 09:22:54,1
216,37.4864172,127.1048724,2019-11-28 09:45:28,2019-11-28 12:40:06,0
216,37.5651009,127.0362413,2019-11-28 13:20:13,2019-11-28 16:38:45,3
216,37.49284715,127.0904056,2019-11-28 17:42:41,2019-11-29 06:27:14,1
216,37.4928683,127.09040825,2019-11-29 06:27:14,2019-11-29 08:25:47,1
216,37.48643535,127.10487765,2019-11-29 08:47:14,2019-11-29 11:15:52,0
216,37.4838034,127.1058657,2019-11-29 11:26:46,2019-11-29 12:03:14,0
216,37.5568554,126.89721915,2019-11-29 14:23:51,2019-11-29 14:56:18,7
