deviceid,latitude,longitude,datetime,leaving_datetime,cluster
394,37.564250650000005,127.03603845,2020-11-25 09:14:04,2020-11-25 21:07:23,1
394,37.56423805,127.0361583,2020-11-26 10:58:48,2020-11-26 20:33:48,1
394,37.5642882,127.0360136,2020-11-28 08:25:22,2020-11-28 22:39:52,1
394,37.564299,127.0360108,2020-11-28 22:57:08,2020-11-29 01:31:24,1
394,37.5643169,127.0359795,2020-11-29 04:06:35,2020-11-29 21:27:18,1
394,37.5642799,127.0359745,2020-11-30 11:17:40,2020-11-30 22:01:13,1
394,37.5642496,127.0360473,2020-12-01 09:38:50,2020-12-01 21:52:11,1
394,37.5643286,127.035974,2020-12-02 12:39:10,2020-12-02 14:25:10,1
394,37.56432215,127.0359193,2020-12-02 14:28:18,2020-12-02 22:53:45,1
394,37.5642631,127.0360792,2020-12-03 11:35:55,2020-12-03 21:11:23,1
394,37.5629972,127.03391055,2020-12-04 09:34:31,2020-12-04 12:10:06,1
394,37.5643132,127.0360169,2020-12-04 12:10:06,2020-12-05 05:08:19,1
394,37.5619218,127.034422,2020-12-05 05:08:19,2020-12-05 06:47:20,1
394,37.5642891,127.0360566,2020-12-05 06:47:20,2020-12-05 08:03:46,1
394,37.5643176,127.03604965,2020-12-05 08:51:05,2020-12-05 15:25:07,1
394,37.5643068,127.03601255,2020-12-05 15:40:06,2020-12-06 01:00:05,1
394,37.56430745,127.03604315,2020-12-06 02:36:51,2020-12-06 07:24:05,1
394,37.5642896,127.0359732,2020-12-06 11:04:11,2020-12-06 21:43:55,1
394,37.5643256,127.036005,2020-12-07 11:22:28,2020-12-07 22:29:43,1
394,37.56424765,127.0361057,2020-12-08 09:41:45,2020-12-08 10:24:59,1
394,37.5642887,127.0361207,2020-12-08 10:26:53,2020-12-08 22:31:09,1
394,37.56426225,127.0361129,2020-12-09 09:31:22,2020-12-09 13:21:03,1
394,37.5642755,127.03599995,2020-12-09 13:22:24,2020-12-09 22:38:15,1
394,37.564259,127.0361001,2020-12-10 12:48:20,2020-12-10 22:06:20,1
394,37.56425505,127.0360079,2020-12-11 09:27:39,2020-12-11 22:45:32,1
394,37.5637449,127.03550155,2020-12-11 22:58:31,2020-12-12 00:10:19,1
394,37.564145,127.0346811,2020-12-13 02:06:48,2020-12-13 02:44:55,1
394,37.5642643,127.0361434,2020-12-13 04:16:21,2020-12-13 05:25:17,1
394,37.5642784,127.0359931,2020-12-13 05:25:17,2020-12-13 22:24:18,1
394,37.5643439,127.03598255,2020-12-14 11:12:38,2020-12-14 23:16:42,1
394,37.5623386,127.03478345,2020-12-15 09:18:32,2020-12-15 11:53:38,1
394,37.56427,127.03593955,2020-12-15 11:53:38,2020-12-15 21:38:05,1
394,37.56427395,127.0359891,2020-12-16 11:29:54,2020-12-16 23:55:13,1
394,37.5613354,127.0343092,2020-12-17 11:47:02,2020-12-17 13:18:53,1
394,37.5642692,127.0359758,2020-12-17 13:47:49,2020-12-23 07:09:16,1
