deviceid,latitude,longitude,datetime,leaving_datetime,cluster
317,37.6175004,126.9988465,2019-12-06 14:02:03,2019-12-08 03:54:49,0
317,37.61749485,126.99882525,2019-12-08 03:59:15,2019-12-08 20:30:18,0
317,37.6175111,126.9988019,2019-12-10 18:03:36,2019-12-11 17:19:17,0
317,37.6174988,126.998818,2019-12-11 17:19:17,2019-12-11 23:18:17,0
317,37.6175772,126.9989072,2019-12-11 23:19:42,2019-12-12 01:33:24,0
317,37.6175069,126.9987715,2019-12-12 01:39:40,2019-12-12 04:26:28,0
317,37.6174823,126.9987651,2019-12-12 04:30:42,2019-12-12 09:52:45,0
317,37.61748715,126.99879545,2019-12-12 14:18:16,2019-12-13 02:22:21,0
317,37.6175366,126.9987842,2019-12-13 02:22:21,2019-12-13 03:51:40,0
317,37.6175153,126.9988163,2019-12-13 03:54:02,2019-12-13 10:39:02,0
317,37.6174989,126.9988246,2019-12-13 13:56:30,2019-12-14 02:27:43,0
317,37.617495,126.99884315,2019-12-14 02:29:08,2019-12-14 03:34:00,0
317,37.6175319,126.9987901,2019-12-14 03:44:01,2019-12-14 10:15:33,0
317,37.6174577,126.9987667,2019-12-14 17:26:39,2019-12-14 20:02:13,0
