deviceid,poi,count
103,주택,2
103,"공공,사회기관",2
103,"교통,운수",2
103,수선,1
103,"수리,AS",1
103,"직업,기술학원",1
103,"스포츠,오락",1
103,"사회,복지",1
103,"건강,의료",1
103,"서비스,산업",1
