deviceid,latitude,longitude,arrive_time,leaving_time
54,37.570737449999996,127.0342115,2019-10-24 02:37:20,2019-10-24 03:57:24
54,37.570746549999996,127.0342128,2019-10-24 04:10:18,2019-10-24 04:47:48
54,37.57073545,127.03420994999999,2019-10-24 05:20:55,2019-10-24 06:46:56
54,37.5707362,127.0342106,2019-10-24 07:25:18,2019-10-24 08:24:16
54,37.5687204,127.0261365,2019-10-24 09:13:22,2019-10-24 19:10:13
54,37.5688152,127.02598929999999,2019-10-24 19:56:20,2019-10-24 23:02:35
54,37.57075965,127.0342053,2019-10-24 23:11:12,2019-10-24 23:54:57
54,37.5641417,127.0369982,2019-10-25 00:08:53,2019-10-25 00:41:11
54,38.07652815,127.3202383,2019-10-25 02:45:25,2019-10-25 04:18:20
54,37.5707451,127.034207,2019-10-25 08:42:37,2019-10-25 10:44:23
54,37.5687686,127.02655165,2019-10-25 10:48:14,2019-10-26 02:37:05
54,37.6420176,127.2183913,2019-10-26 04:33:19,2019-10-26 05:39:48
54,37.5687696,127.0265511,2019-10-26 08:31:07,2019-10-27 12:39:36
54,37.5687694,127.02654,2019-10-27 12:39:36,2019-10-27 19:10:58
54,37.5688546,127.0259947,2019-10-27 19:47:50,2019-10-27 23:21:58
54,37.5707481,127.0342065,2019-10-27 23:27:22,2019-10-28 00:53:04
54,37.5707449,127.0342071,2019-10-28 01:02:55,2019-10-28 03:59:27
54,37.5707456,127.03420695,2019-10-28 04:20:22,2019-10-28 08:08:26
54,37.5687676,127.0265341,2019-10-28 08:14:19,2019-10-28 23:00:33
54,37.5707466,127.0342065,2019-10-28 23:06:55,2019-10-29 01:29:43
54,37.5707553,127.0342105,2019-10-29 01:58:13,2019-10-29 03:10:03
54,37.5707474,127.03420919999999,2019-10-29 03:14:18,2019-10-29 05:25:36
54,37.5707443,127.0342093,2019-10-29 05:38:10,2019-10-29 08:05:56
54,37.5687767,127.02657074999999,2019-10-29 08:10:05,2019-10-29 19:14:30
54,37.568858,127.0260132,2019-10-29 19:52:49,2019-10-29 22:49:46
54,37.5707345,127.0341936,2019-10-29 22:53:38,2019-10-30 06:05:03
54,37.4980935,127.1502806,2019-10-30 07:40:24,2019-10-30 08:20:25
54,37.5687148,127.0259989,2019-10-30 09:13:25,2019-10-30 20:31:47
54,37.5688816,127.0259818,2019-10-30 20:31:47,2019-10-30 23:22:42
54,37.5707244,127.0341927,2019-10-30 23:33:20,2019-10-31 01:30:37
54,37.5707387,127.0341928,2019-10-31 01:32:11,2019-10-31 03:56:45
54,37.570736749999995,127.03419675,2019-10-31 04:08:16,2019-10-31 05:28:21
54,37.5707344,127.03419465,2019-10-31 05:28:21,2019-10-31 08:10:23
54,37.5687148,127.0259989,2019-10-31 08:18:52,2019-10-31 19:12:48
54,37.5687222,127.0260051,2019-10-31 19:47:17,2019-10-31 22:44:45
54,37.570731,127.0341924,2019-10-31 22:49:03,2019-11-01 01:13:19
54,37.57072735,127.03419245,2019-11-01 01:41:34,2019-11-01 03:58:50
54,37.5707308,127.0341917,2019-11-01 04:12:08,2019-11-01 07:57:39
54,37.5687148,127.0259989,2019-11-01 08:35:06,2019-11-01 23:40:34
54,37.5687717,127.0259316,2019-11-01 23:51:27,2019-11-02 03:37:00
54,37.5162968,127.1465965,2019-11-02 04:19:25,2019-11-02 05:18:36
54,37.571180749999996,127.02238455,2019-11-02 06:35:56,2019-11-02 07:46:39
54,37.5687148,127.0260197,2019-11-02 07:52:29,2019-11-02 10:54:45
