deviceid,latitude,longitude,year,week,category
331.0,35.91097635,127.75746105,2019.0,50.0,none
331.0,37.6388862,127.0100108,2019.0,50.0,"건강,의료>국립병원"
331.0,37.5822504,126.9704422,2019.0,50.0,종교>개신교
331.0,37.6069542,126.9687062,2019.0,50.0,"시설,건물>기업,빌딩"
331.0,37.5833996,127.0178192,2019.0,50.0,none
331.0,37.5868621,127.0260193,2019.0,50.0,"건강,의료>종합병원"
331.0,37.5884695,127.0170766,2019.0,50.0,none
331.0,37.5907919,127.0108846,2019.0,50.0,none
331.0,36.3601844,127.3510638,2019.0,50.0,none
331.0,37.5869406,127.0187839,2019.0,50.0,none
331.0,37.5822509,127.0178402,2019.0,51.0,주택>아파트
331.0,37.5981235,127.0905908,2019.0,51.0,주택>아파트
331.0,37.56300675,126.94047525,2019.0,51.0,"건강,의료>종합병원"
