deviceid,latitude,longitude,cluster,address
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.651458,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.652061,127.0718393,0,양지대림아파트
265,37.6513355,127.0727332,0,가로판매대
265,37.651458,127.0723979,0,신안아파트
265,37.6515008,127.0730685,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0730685,0,서울특별시 노원구 중계1동
265,37.651458,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.651458,127.0723979,0,신안아파트
265,37.6513355,127.0730685,0,서울특별시 노원구 중계1동
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0723979,0,신안아파트
265,37.651458,127.0723979,0,신안아파트
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.651458,127.0723979,0,신안아파트
265,37.651458,127.0723979,0,신안아파트
265,37.651458,127.0723979,0,신안아파트
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.651458,127.0723979,0,신안아파트
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.651458,127.0723979,0,신안아파트
265,37.651458,127.0723979,0,신안아파트
265,37.651458,127.0723979,0,신안아파트
265,37.651458,127.0723979,0,신안아파트
265,37.651338,127.0725331,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
265,37.6513355,127.0727332,0,가로판매대
