deviceid,latitude,longitude,datetime,leaving_datetime,cluster
142,37.370522,127.1127524,2019-11-15 18:10:10,2019-11-15 20:23:28,2
142,37.370522,127.1127524,2019-11-17 10:29:38,2019-11-17 13:02:13,2
142,37.3705227,127.1127498,2019-11-24 10:33:02,2019-11-24 13:11:58,2
142,37.3705216,127.1127505,2019-11-29 18:07:04,2019-11-29 20:16:26,2
142,37.3705216,127.1127505,2019-12-01 10:45:19,2019-12-01 13:10:33,2
142,37.3705235,127.1127524,2019-12-06 18:18:21,2019-12-06 20:27:08,2
142,37.3705235,127.1127524,2019-12-08 10:38:37,2019-12-08 13:44:04,2
142,37.3705215,127.1127485,2019-12-13 18:02:16,2019-12-13 20:24:10,2
142,37.3705215,127.1127485,2019-12-15 10:38:43,2019-12-15 13:57:22,2
142,37.3705245,127.1127505,2019-12-20 18:00:37,2019-12-20 20:18:51,2
142,37.3705245,127.1127505,2019-12-22 10:40:05,2019-12-22 13:22:29,2
142,37.3705201,127.1127485,2019-12-31 23:08:03,2020-01-01 01:04:52,2
