deviceid,latitude,longitude,cluster,address
142,37.370522,127.1127524,2,경기도 성남시 분당구 정자동  
142,37.370522,127.1127524,2,경기도 성남시 분당구 정자동  
142,37.3705227,127.1127498,2,경기도 성남시 분당구 정자동  
142,37.3705216,127.1127505,2,경기도 성남시 분당구 정자동  
142,37.3705216,127.1127505,2,경기도 성남시 분당구 정자동  
142,37.3705235,127.1127524,2,경기도 성남시 분당구 정자동  
142,37.3705235,127.1127524,2,경기도 성남시 분당구 정자동  
142,37.3705215,127.1127485,2,경기도 성남시 분당구 정자동  
142,37.3705215,127.1127485,2,경기도 성남시 분당구 정자동  
142,37.3705245,127.1127505,2,경기도 성남시 분당구 정자동  황새울로116번길 23 4
142,37.3705245,127.1127505,2,경기도 성남시 분당구 정자동  황새울로116번길 23 4
142,37.3705201,127.1127485,2,경기도 성남시 분당구 정자동  
