deviceid,latitude,longitude,year,week
104.0,37.507303325,126.89045404999999,2019.0,45.0,
104.0,37.5643626,127.02958205,2019.0,45.0,
104.0,37.566293,127.0426859,2019.0,45.0,
104.0,37.5904794,127.0845621,2019.0,45.0,
104.0,37.56157335,127.0384803,2019.0,45.0,
104.0,37.4814918,126.8837161,2019.0,45.0,
104.0,37.4810583,126.8906094,2019.0,45.0,
104.0,37.5688694,126.9899889,2019.0,46.0,
104.0,37.5641354,126.98462855,2019.0,46.0,
104.0,37.5638911,126.98684705,2019.0,46.0,
