deviceid,latitude,longitude,cluster,address
395,37.5869021,127.01880745,1,서울특별시 성북구 보문동 서울특별시 성북구 보문동1가  38 
395,37.5869342,127.0186809,1,서울특별시 성북구 보문동 서울특별시 성북구 보문동1가  51 2 
395,37.58690625,127.01880395,1,서울특별시 성북구 보문동 서울특별시 성북구 보문동1가  38 
395,37.58693005,127.0187132,1,서울특별시 성북구 보문동 서울특별시 성북구 보문동1가  36 보문로 134
395,37.58693085,127.0187059,1,서울특별시 성북구 보문동 서울특별시 성북구 보문동1가  36 보문로 134
395,37.58693015,127.01871055,1,서울특별시 성북구 보문동 서울특별시 성북구 보문동1가  36 보문로 134
395,37.58575175,127.01909825,1,서울특별시 성북구 보문동 서울특별시 성북구 보문동2가  91 1 
395,37.58693135,127.0187107,1,서울특별시 성북구 보문동 서울특별시 성북구 보문동1가  36 보문로 134
395,37.586933,127.0187112,1,서울특별시 성북구 보문동 서울특별시 성북구 보문동1가  36 보문로 134
395,37.5869308,127.0187085,1,서울특별시 성북구 보문동 서울특별시 성북구 보문동1가  36 보문로 134
