deviceid,latitude,longitude,year,week,category
328.0,37.57995261666667,127.00354856666667,2019.0,50.0,none
328.0,37.590830525,127.01082199999999,2019.0,50.0,주택>오피스텔
328.0,37.6364777,127.0699287,2019.0,50.0,"병원,의원>정형외과"
328.0,35.9109758,127.7574613,2019.0,50.0,none
328.0,36.3602089,127.3511668,2019.0,50.0,none
328.0,37.5865422,127.01912085,2019.0,50.0,none
328.0,37.5922756,127.0154774,2019.0,50.0,"시설,건물>기업,빌딩"
328.0,37.5868399,127.0259869,2019.0,51.0,"건강,의료>종합병원"
328.0,37.5822108,127.01783435,2019.0,51.0,none
328.0,37.57993445,127.00351875,2019.0,51.0,none
