deviceid,latitude,longitude,arrive_time,leaving_time
116,37.5615871,127.0352969,2019-11-10 00:43:47,2019-11-10 02:05:54
116,37.5615997,127.035296,2019-11-10 02:07:02,2019-11-10 03:53:49
116,37.5616519,127.03525135,2019-11-10 03:54:50,2019-11-10 04:58:06
116,37.56165755,127.035333,2019-11-10 04:59:29,2019-11-10 06:05:29
116,37.5616516,127.035254,2019-11-10 06:06:40,2019-11-10 07:35:18
116,37.56170015,127.03527635,2019-11-10 08:02:51,2019-11-10 15:04:26
116,37.56157915,127.03530275,2019-11-10 15:06:19,2019-11-10 17:53:28
116,37.5615815,127.035304,2019-11-10 17:55:11,2019-11-10 19:26:10
116,37.561599,127.0352971,2019-11-10 19:27:43,2019-11-10 20:28:18
116,37.5616154,127.0352679,2019-11-10 20:29:23,2019-11-11 06:41:44
