deviceid,latitude,longitude,arrive_time,leaving_time
213,37.5518389,127.09033205,2019-11-21 06:08:15,2019-11-21 07:03:15
213,37.5518356,127.0903148,2019-11-21 07:04:27,2019-11-21 09:00:44
213,37.5724753,126.99167095,2019-11-21 09:20:18,2019-11-21 09:54:20
213,37.6332416,126.919608,2019-11-21 10:41:48,2019-11-21 11:42:56
213,37.63324725,126.9196539,2019-11-21 12:05:16,2019-11-21 14:08:39
213,37.6332364,126.9196521,2019-11-21 14:09:43,2019-11-21 22:40:27
213,37.6332521,126.919605,2019-11-21 22:55:32,2019-11-22 00:23:13
213,37.6331488,126.9192886,2019-11-22 01:05:23,2019-11-22 02:41:53
213,37.5648438,127.03634335,2019-11-22 03:21:34,2019-11-22 06:59:03
213,37.5607829,127.0379257,2019-11-22 07:12:54,2019-11-22 07:57:17
213,37.5616161,127.0383182,2019-11-22 08:08:30,2019-11-22 09:57:11
213,37.63377075,126.9191618,2019-11-22 11:00:27,2019-11-22 11:43:20
213,37.6331975,126.9193221,2019-11-22 11:43:20,2019-11-22 12:18:33
213,37.6332406,126.9196001,2019-11-22 12:29:05,2019-11-22 22:29:37
213,37.6332488,126.9196441,2019-11-22 22:31:37,2019-11-23 00:24:29
213,37.6332587,126.91962955,2019-11-23 00:26:28,2019-11-23 01:26:22
213,37.633248,126.9196225,2019-11-23 01:29:01,2019-11-23 07:18:50
213,37.5716738,127.0064558,2019-11-23 08:41:42,2019-11-23 09:12:11
213,37.5703334,127.0045493,2019-11-23 09:12:11,2019-11-23 10:37:09
213,37.63324555,126.91963575,2019-11-23 12:07:05,2019-11-23 13:14:17
213,37.6332607,126.9196504,2019-11-23 13:15:21,2019-11-24 00:59:32
213,37.5201124,127.13539055,2019-11-24 02:32:18,2019-11-24 03:42:24
213,37.520276,127.1354101,2019-11-24 03:46:27,2019-11-24 04:49:55
213,37.6332496,126.9196438,2019-11-24 06:00:03,2019-11-24 07:01:05
213,37.63324495,126.91945825,2019-11-24 07:02:06,2019-11-24 11:17:53
213,37.63323845,126.91961515,2019-11-24 11:18:57,2019-11-24 13:20:56
213,37.633271,126.91964014999999,2019-11-24 13:31:11,2019-11-24 14:59:11
213,37.63325,126.9196771,2019-11-24 15:03:00,2019-11-25 00:03:00
213,37.6332422,126.91949685,2019-11-25 00:06:01,2019-11-25 00:55:18
213,37.6332448,126.91959299999999,2019-11-25 00:56:18,2019-11-25 03:47:06
213,37.6332419,126.9196469,2019-11-25 04:00:28,2019-11-25 06:41:18
213,37.56110835,126.99385035,2019-11-25 07:36:06,2019-11-25 08:06:19
213,37.57993125,127.0035144,2019-11-25 08:13:31,2019-11-25 10:04:19
213,37.6332432,126.9196189,2019-11-25 10:58:56,2019-11-25 11:33:28
213,37.63325265,126.91963055,2019-11-25 11:36:14,2019-11-25 20:33:41
213,37.633264800000006,126.9196487,2019-11-25 21:01:14,2019-11-25 21:50:52
213,37.633252999999996,126.91964205,2019-11-25 22:16:14,2019-11-25 23:53:24
213,37.6332304,126.9196699,2019-11-25 23:54:26,2019-11-26 03:54:25
213,37.5869464,127.0187805,2019-11-26 05:45:02,2019-11-26 08:13:30
213,37.5799286,127.0035269,2019-11-26 08:13:30,2019-11-26 10:32:29
213,37.5799053,127.0035352,2019-11-26 10:33:32,2019-11-26 11:11:49
213,37.6333302,126.9195382,2019-11-26 11:45:10,2019-11-26 13:49:13
213,37.6332604,126.91957585,2019-11-26 13:51:05,2019-11-27 01:02:58
213,37.6332615,126.919632,2019-11-27 01:05:06,2019-11-27 04:05:33
213,37.6332533,126.9195284,2019-11-27 04:07:12,2019-11-27 04:45:19
213,37.53755875,127.1398901,2019-11-27 06:15:31,2019-11-27 06:51:16
213,37.5853625,127.01942955,2019-11-27 07:30:22,2019-11-27 08:10:06
213,37.6332529,126.9196242,2019-11-27 09:32:02,2019-11-27 10:37:00
213,37.6332513,126.9196023,2019-11-27 10:38:11,2019-11-27 11:39:15
213,37.6332558,126.9196106,2019-11-27 11:41:13,2019-11-28 00:43:24
213,37.6332706,126.9195244,2019-11-28 00:46:03,2019-11-28 01:44:12
213,37.633874950000006,126.9180848,2019-11-28 02:25:58,2019-11-28 04:10:41
213,37.6332744,126.919597,2019-11-28 04:10:41,2019-11-28 04:50:07
213,37.6332631,126.9196134,2019-11-28 04:50:07,2019-11-28 05:28:25
213,37.6332749,126.9196306,2019-11-28 05:28:25,2019-11-28 06:43:41
213,37.6119285,126.9170954,2019-11-28 07:09:38,2019-11-28 07:48:41
213,37.633256700000004,126.9196195,2019-11-28 09:23:24,2019-11-28 22:41:52
