deviceid,latitude,longitude,cluster,address
138,37.6341616,127.0732562,1,서울정민학교
138,37.6342584,127.073383,1,연촌초등학교
138,37.6356243,127.0729753,1,카드키월드
138,37.6340841,127.07332035,1,서울정민학교
138,37.636114,127.0729481,1,경동약국
138,37.6336402,127.0731639,1,서울정민학교
138,37.63611395,127.0730078,1,경동약국
138,37.6341465,127.0733326,1,서울정민학교
138,37.6360936,127.0729746,1,경동약국
138,37.633662,127.0732378,1,서울정민학교
138,37.6357459,127.0747429,1,순흥빌라트
138,37.6360377,127.0730011,1,서울특별시 노원구 하계1동
138,37.6336334,127.0733221,1,서울정민학교
138,37.6355397,127.0732022,1,카드키월드
