deviceid,latitude,longitude,cluster,address
210,37.6137055,127.0987184,0,서울특별시 중랑구 신내1동 서울특별시 중랑구 신내동  315 5 
210,37.6137785,127.0986083,0,서울특별시 중랑구 신내1동 서울특별시 중랑구 신내동  315 5 
210,37.6137337,127.0986868,0,서울특별시 중랑구 신내1동 서울특별시 중랑구 신내동  315 5 
210,37.61371695,127.0987139,0,서울특별시 중랑구 신내1동 서울특별시 중랑구 신내동  315 5 
210,37.6137126,127.0987153,0,서울특별시 중랑구 신내1동 서울특별시 중랑구 신내동  315 5 
210,37.6137041,127.09872875,0,서울특별시 중랑구 신내1동 서울특별시 중랑구 신내동  315 5 
210,37.6137152,127.0987143,0,서울특별시 중랑구 신내1동 서울특별시 중랑구 신내동  315 5 
210,37.6130011,127.0981077,0,서울의료원
210,37.6137469,127.098693,0,서울특별시 중랑구 신내1동 서울특별시 중랑구 신내동  315 5 
210,37.6137443,127.0986895,0,서울특별시 중랑구 신내1동 서울특별시 중랑구 신내동  315 5 
210,37.613774250000006,127.0986568,0,서울특별시 중랑구 신내1동 서울특별시 중랑구 신내동  315 5 
210,37.6137447,127.0986978,0,서울특별시 중랑구 신내1동 서울특별시 중랑구 신내동  315 5 
