deviceid,latitude,longitude,datetime,leaving_datetime,cluster
104,37.56881395,127.03271095,2019-11-05 11:45:21,2019-11-05 14:02:41,0
104,37.5069778,126.8906342,2019-11-05 14:55:12,2019-11-05 17:11:50,2
104,37.50762885,126.8902739,2019-11-05 17:27:45,2019-11-05 18:40:06,2
104,37.5688225,127.0327679,2019-11-05 19:49:14,2019-11-08 13:49:30,0
104,37.4810583,126.8906094,2019-11-08 13:49:30,2019-11-08 14:57:31,9
104,37.4814918,126.8837161,2019-11-08 15:17:48,2019-11-08 17:00:07,8
104,37.5688173,127.0327406,2019-11-08 18:28:10,2019-11-08 21:23:05,0
104,37.56880845,127.0327272,2019-11-08 21:25:34,2019-11-08 22:14:17,0
104,37.5688208,127.0327322,2019-11-08 22:14:17,2019-11-09 16:40:24,0
104,37.56157335,127.0384803,2019-11-09 16:57:02,2019-11-09 17:41:26,7
104,37.5688071,127.032723,2019-11-09 17:57:23,2019-11-09 22:21:51,0
104,37.5688107,127.0327159,2019-11-09 22:23:23,2019-11-10 07:27:37,0
104,37.56880885,127.03270845,2019-11-10 07:29:19,2019-11-10 11:17:46,0
104,37.5904794,127.0845621,2019-11-10 12:01:31,2019-11-10 16:11:39,6
104,37.566293,127.0426859,2019-11-10 17:11:50,2019-11-10 19:26:31,5
104,37.5643626,127.02958205,2019-11-10 19:41:11,2019-11-10 20:20:00,4
104,37.568821,127.0327204,2019-11-10 20:48:10,2019-11-11 16:37:35,0
104,37.5688353,127.0327457,2019-11-11 17:09:45,2019-11-12 12:10:59,0
104,37.5638911,126.98684705,2019-11-12 12:10:59,2019-11-12 12:44:49,1
104,37.5641354,126.98462855,2019-11-12 12:44:49,2019-11-12 15:13:42,1
104,37.5688694,126.9899889,2019-11-12 15:13:42,2019-11-12 16:05:54,3
104,37.5688263,127.0327311,2019-11-12 16:30:23,2019-11-13 13:20:55,0
