deviceid,latitude,longitude,datetime,leaving_datetime
151,37.5748318,127.07972905,2019-11-24 05:42:07,2019-11-24 08:51:42
151,37.57522385,127.07939160000001,2019-11-24 08:52:44,2019-11-24 09:30:00
151,37.5748353,127.079724,2019-11-24 09:36:02,2019-11-24 10:07:13
151,37.5748276,127.0797198,2019-11-24 10:07:13,2019-11-24 11:55:09
151,37.5748255,127.07962309999999,2019-11-24 11:55:09,2019-11-24 12:30:13
151,37.5748287,127.0797232,2019-11-24 12:39:41,2019-11-24 15:18:57
151,37.574833350000006,127.07972175,2019-11-24 15:39:48,2019-11-24 17:08:02
151,37.5748319,127.0797248,2019-11-24 17:10:04,2019-11-24 19:05:40
151,37.5748378,127.0797209,2019-11-24 19:26:02,2019-11-25 07:25:37
