deviceid,latitude,longitude,year,week,category
53.0,37.5707618,127.03421465,2019.0,43.0,"사회,복지>장애인복지시설"
53.0,37.5422953,127.0442039,2019.0,43.0,none
53.0,37.5692417,126.9781033,2019.0,43.0,none
53.0,37.5592756,127.0348895,2019.0,43.0,공중전화
53.0,37.5608683,127.0380635,2019.0,43.0,"한식>칼국수,만두"
53.0,37.5622984,127.035562,2019.0,43.0,"시설,건물>기업,빌딩"
53.0,38.0672498,127.3254623,2019.0,43.0,none
53.0,38.0765843,127.3202646,2019.0,43.0,none
53.0,37.5640354,127.03692325,2019.0,43.0,"공공,사회기관>지방교육청"
53.0,37.57074878888889,127.03420007222222,2019.0,44.0,"사회,복지>장애인복지시설"
53.0,37.565132175,127.05577675,2019.0,44.0,"병원,의원>정형외과"
53.0,37.5132894,127.0316504,2019.0,44.0,"시설,건물>기업,빌딩"
53.0,37.569108,127.0104512,2019.0,44.0,"쇼핑,유통>상가,아케이드"
53.0,37.5423061,127.04442905,2019.0,44.0,none
53.0,37.5623308,127.0355777,2019.0,44.0,"시설,건물>기업,빌딩"
53.0,37.56203835,127.0343656,2019.0,44.0,수선>구두수선
53.0,37.56190805,127.03827295,2019.0,44.0,"한식>칼국수,만두"
53.0,37.570745585714285,127.0341986,2019.0,45.0,"사회,복지>장애인복지시설"
53.0,37.56512313333334,127.05578851666667,2019.0,45.0,"병원,의원>정형외과"
53.0,37.5207879,126.9777805,2019.0,45.0,종교>천주교
53.0,37.5623319,127.0355905,2019.0,45.0,"시설,건물>기업,빌딩"
53.0,37.518007,127.0715192,2019.0,45.0,none
53.0,37.5168406,127.0703861,2019.0,45.0,"스포츠,오락>종합운동장"
53.0,37.5610911,127.03651815,2019.0,45.0,수선>구두수선
53.0,37.542470683333335,127.04443166666665,2019.0,46.0,none
53.0,37.5585303,127.03710396666666,2019.0,46.0,none
53.0,37.565125525,127.055767825,2019.0,46.0,"병원,의원>정형외과"
53.0,37.5623104,127.0356216,2019.0,46.0,"시설,건물>기업,빌딩"
53.0,37.5583239,127.0338385,2019.0,46.0,"생활,편의>편의점"
53.0,37.60178035,127.04163395,2019.0,46.0,none
53.0,37.54584145,127.0542972,2019.0,46.0,none
53.0,37.5707477,127.0342146,2019.0,47.0,"사회,복지>장애인복지시설"
